style_id,image_path,nn_sibling_sim
Ladieswear || Top || Jersey Basic || White || Solid,data\images\0316441005.jpg,0.9349669814109802
Ladieswear || Top || Jersey Basic || White || Solid,data\images\0549639003.jpg,0.9015418291091919
Ladieswear || Top || Jersey Basic || White || Solid,data\images\0575141005.jpg,0.9374861717224121
Ladieswear || Top || Jersey Basic || White || Solid,data\images\0611024002.jpg,0.9349669814109802
Ladieswear || Top || Jersey Basic || White || Solid,data\images\0681657002.jpg,0.9652867913246155
Ladieswear || Top || Jersey Basic || White || Solid,data\images\0685347002.jpg,0.953138530254364
Ladieswear || Top || Jersey Basic || White || Solid,data\images\0714493002.jpg,0.9535797238349915
Ladieswear || Top || Jersey Basic || White || Solid,data\images\0732114002.jpg,0.9354249238967896
Ladieswear || Top || Jersey Basic || White || Solid,data\images\0767225001.jpg,0.9535797238349915
Ladieswear || Top || Jersey Basic || White || Solid,data\images\0767813002.jpg,0.9401273131370544
Ladieswear || Top || Jersey Basic || White || Solid,data\images\0767925005.jpg,0.953138530254364
Ladieswear || Top || Jersey Basic || White || Solid,data\images\0768931001.jpg,0.9215359091758728
Ladieswear || Top || Jersey Basic || White || Solid,data\images\0784926002.jpg,0.9401273131370544
Ladieswear || Top || Jersey Basic || White || Solid,data\images\0819520002.jpg,0.9652867913246155
Ladieswear || Top || Jersey Basic || White || Solid,data\images\0827428006.jpg,0.9245038032531738
Ladieswear || Top || Jersey Basic || White || Solid,data\images\0828050001.jpg,0.9507280588150024
Ladieswear || Top || Jersey Basic || White || Solid,data\images\0898918001.jpg,0.9224338531494141
Ladieswear || Top || Jersey Basic || White || Solid,data\images\0917843002.jpg,0.9258826375007629
Ladieswear || Top || Jersey Basic || White || Solid,data\images\0928461002.jpg,0.9224260449409485
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,data\images\0497247003.jpg,0.885106086730957
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,data\images\0510314002.jpg,0.7692252993583679
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,data\images\0589599040.jpg,0.9410470724105835
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,data\images\0590928019.jpg,0.9256510138511658
Ladieswear || Bikini top || Swimwear || Orange || All over pattern,data\images\0590928025.jpg,0.9442437887191772
